"Brand","Model","Model_year","Mileage","Horsepower","Accident","Price"
"Jeep","Grand Cherokee L Limited",2022,31700,293,0,43500
"Hyundai","IONIQ Plug-In Hybrid SEL",2022,13044,139,1,24999
"Kia","Sportage LX",2009,100730,173,0,6975
"BMW","X5 PHEV xDrive45e",2023,5338,389,0,76500
"BMW","X6 M Base",2018,48291,567,0,67250
"Volkswagen","Eurovan MV",2001,111887,140,0,14000
"Rolls-Royce","Ghost Base",2010,79000,563,0,69000
"Lincoln","Navigator Reserve",2016,125000,380,0,26500
"Mercedes-Benz","GLA 250 Base 4MATIC",2022,13777,221,1,39777
"Volvo","S80 3.2",2010,90050,235,0,5800
"Subaru","BRZ Premium",2014,45000,200,1,25000
"Chevrolet","Corvette Base",1998,7666,340,0,39500
"Hummer","H2 SUT",2006,89900,325,0,29994
"Ford","Edge Sport",2011,132000,305,1,10999
"GMC","Terrain SLT",2010,32652,182,0,6500
"Jeep","Grand Cherokee WK Laredo X",2022,11164,293,0,37500
"BMW","M4 Base",2020,22655,425,0,63999
"Mercedes-Benz","AMG GT 63 S 4-Door",2019,9500,630,0,135000
"Chevrolet","Camaro 1LT",2021,10300,335,0,29900
"BMW","X6 M Base",2018,48000,567,0,54000
"Mercedes-Benz","CLK-Class 550",2007,138000,382,1,10000
"Audi","RS 7 4.0T Prestige",2016,31500,560,0,67000
"Genesis","GV70 3.5T Sport",2022,10200,375,0,50500
"Aston","Martin V8 Vantage Base",2008,62378,380,1,33995
"Nissan","350Z Touring",2006,84200,300,0,10200
"Toyota","Sequoia SR5",2013,138700,381,1,18800
"Chevrolet","Tahoe Premier",2021,41050,355,0,62900
"Mercedes-Benz","AMG C 63 Base",2017,63000,469,1,42000
"Volvo","S40 T5",2005,257700,218,0,3550
"Mercedes-Benz","GLE 350 Base 4MATIC",2017,57000,302,1,29500
"Chevrolet","Silverado 1500 1LT",2017,89000,355,0,29999
"Chevrolet","Tahoe LTZ",2015,134500,355,0,28000
"Genesis","GV70 2.5T",2022,20319,300,0,44249
"Pontiac","Firebird Base",1999,158000,200,1,2500
"BMW","M4 Competition xDrive",2023,1120,503,0,92900
"Kia","Forte GT-Line",2022,14950,147,1,24000
"Kia","Forte LX",2018,47466,147,0,14699
"RAM","ProMaster 3500 High Roof",2021,18500,280,0,41950
"Jaguar","XF 3.0 Portfolio",2015,71290,340,1,21000
"Audi","A7 55 Premium Plus",2022,15000,335,0,63000
"INFINITI","QX30 Premium",2017,37900,208,0,22000
"Mercedes-Benz","AMG C 43 AMG C 43 4MATIC",2019,32500,385,0,43500
"Mitsubishi","Lancer Evolution Base",2003,61491,271,1,28000
"Audi","A3 2.0 TDI Premium Plus",2015,83000,150,1,18999
"Volkswagen","Jetta GLX VR6",2002,121800,174,0,4300
"Mercedes-Benz","CLA-Class CLA 250",2014,83315,208,0,15000
"Lexus","CT 200h Premium",2015,101000,134,1,16500
"Mercedes-Benz","SLC 300 Base",2019,23900,241,0,35999
"Mazda","CX-9 Grand Touring",2010,155000,273,0,8300
"Bentley","Bentayga Onyx Edition",2018,18500,600,0,115000
"MINI","Cooper S Clubman Base",2009,137600,172,0,6880
"Nissan","Murano SL",2005,125500,245,0,3950
"Bentley","Bentayga V8",2019,22039,542,0,113990
"Nissan","Juke SV",2011,137483,188,0,3200
"Ford","Expedition Max Limited",2019,67500,375,0,40500
"Ford","Expedition Max King Ranch",2020,52000,375,1,53722
"Lamborghini","Murcielago Base",2006,10000,571,0,259000
"Chevrolet","Suburban LT",2017,195361,355,1,26000
"Bentley","Bentayga Onyx Edition",2018,32500,600,1,103000
"BMW","M760 i xDrive",2019,14806,601,1,81330
"Genesis","GV70 2.5T",2022,11000,300,1,48950
"Chevrolet","Tahoe LT",2011,92530,320,1,18500
"Dodge","Durango GT",2017,34845,295,1,30000
"Porsche","718 Cayman GTS",2018,16280,365,0,85500
"Porsche","Cayman Base",2011,77000,265,0,32000
"Porsche","Panamera Turbo",2010,63000,500,1,38500
"Lexus","ES 350 Base",2016,39700,268,0,25500
"Kia","Optima Hybrid LX",2013,103111,199,1,9200
"Jaguar","XF S",2017,55000,380,0,34000
"Lexus","GX 470 Base",2005,114000,270,1,13450
"Mercedes-Benz","GL-Class GL 550",2011,80124,382,0,17500
"BMW","X6 M Base",2023,7000,600,0,144900
"Audi","e-tron Prestige",2019,16000,355,1,39990
